transaction_id,date_key,site_key,product_key,department,units_processed,target_units,defects,downtime_minutes,labour_hours,on_time_flag,cost_gbp,revenue_gbp,variance_units,defect_rate,productivity_units_per_hour,gross_margin_gbp
TXN-00058,20260328,2,3,Quality,129,119,1,14,10.66,1,852.63,1503.59,10,0.007751937984496124,12.101313320825517,650.9599999999999
TXN-00059,20250204,3,1,Assembly,193,155,4,29,16.2,1,1224.49,2013.26,38,0.02072538860103627,11.91358024691358,788.77
TXN-00060,20260529,2,3,Quality,140,149,1,27,10.49,1,793.96,1578.55,-9,0.007142857142857143,13.34604385128694,784.5899999999999
TXN-00061,20250130,3,2,Quality,97,100,1,4,7.94,1,575.19,1161.41,-3,0.010309278350515464,12.21662468513854,586.22
TXN-00062,20250615,3,4,Assembly,124,165,2,53,8.49,0,813.6,1237.57,-41,0.016129032258064516,14.605418138987043,423.9699999999999
TXN-00063,20251202,1,2,Quality,149,148,4,5,11.79,1,1080.79,1517.04,1,0.026845637583892617,12.63782866836302,436.25
TXN-00064,20250525,3,1,Quality,132,121,2,18,12.63,1,969.92,1188.51,11,0.015151515151515152,10.451306413301662,218.59000000000003
TXN-00065,20251216,2,4,Assembly,129,159,4,13,10.79,0,758.37,1630.54,-30,0.031007751937984496,11.95551436515292,872.17
TXN-00066,20250105,2,1,Assembly,79,86,1,14,7.5,1,429.39,764.15,-7,0.012658227848101266,10.533333333333333,334.76
TXN-00067,20251105,3,4,Quality,113,110,2,1,9.28,1,553.09,1148.7,3,0.017699115044247787,12.176724137931036,595.61
TXN-00068,20250222,4,3,Quality,162,154,2,13,12.82,1,1153.54,1989.12,8,0.012345679012345678,12.636505460218409,835.5799999999999
TXN-00069,20250520,1,4,Quality,91,84,0,33,7.17,1,620.94,1044.7,7,0.0,12.691771269177128,423.76
TXN-00070,20251216,4,3,Packing,192,156,5,14,14.78,1,1090.74,2010.26,36,0.026041666666666668,12.990527740189446,919.52
TXN-00071,20251206,1,3,Packing,192,166,3,12,14.73,1,1051.05,1760.64,26,0.015625,13.034623217922606,709.5900000000001
TXN-00072,20250115,1,2,Assembly,132,119,1,16,9.6,1,714.5,1678.32,13,0.007575757575757576,13.75,963.8199999999999
TXN-00073,20251013,4,2,Dispatch,157,147,5,7,12.16,1,779.48,1850.96,10,0.03184713375796178,12.911184210526315,1071.48
TXN-00074,20260515,2,4,Assembly,119,100,1,14,9.37,1,904.49,1198.48,19,0.008403361344537815,12.700106723585913,293.99
TXN-00075,20250208,4,3,Packing,168,159,1,10,11.94,1,890.77,1680.75,9,0.005952380952380952,14.07035175879397,789.98
TXN-00076,20251125,4,1,Assembly,116,140,2,16,9.22,0,789.32,1426.03,-24,0.017241379310344827,12.581344902386116,636.7099999999999
TXN-00077,20260526,2,2,Quality,235,178,3,8,18.04,1,1721.31,2841.9,57,0.01276595744680851,13.026607538802661,1120.5900000000001
TXN-00078,20250518,1,2,Quality,119,146,1,11,8.83,0,655.25,1367.58,-27,0.008403361344537815,13.47678369195923,712.3299999999999
TXN-00079,20250704,4,4,Packing,123,159,1,34,9.64,0,973.88,1510.14,-36,0.008130081300813009,12.759336099585061,536.2600000000001
TXN-00080,20251126,1,3,Dispatch,86,85,2,2,5.03,1,555.82,887.1,1,0.023255813953488372,17.09741550695825,331.28
TXN-00081,20251026,1,1,Quality,95,103,0,7,9.0,1,581.69,1027.5,-8,0.0,10.555555555555555,445.80999999999995
TXN-00082,20250911,3,4,Quality,157,140,7,11,10.82,1,951.19,1609.34,17,0.044585987261146494,14.510166358595194,658.1499999999999
TXN-00083,20251230,2,4,Dispatch,125,113,3,30,8.07,1,728.23,1205.16,12,0.024,15.489467162329616,476.93000000000006
TXN-00084,20251115,4,1,Assembly,95,98,0,21,6.85,1,702.13,840.19,-3,0.0,13.868613138686133,138.06000000000006
TXN-00085,20260331,3,2,Assembly,187,164,5,32,15.11,1,1061.46,2170.82,23,0.026737967914438502,12.375909993381867,1109.3600000000001
TXN-00086,20251025,2,2,Quality,143,143,8,17,11.45,1,786.85,1580.64,0,0.055944055944055944,12.489082969432316,793.7900000000001
TXN-00087,20260403,1,3,Quality,200,176,6,9,16.57,1,1428.54,2496.25,24,0.03,12.070006035003017,1067.71
TXN-00088,20260408,1,3,Dispatch,208,166,7,30,15.53,1,1272.35,1793.57,42,0.03365384615384615,13.393432066967161,521.22
TXN-00089,20251216,1,1,Packing,114,109,3,17,12.12,1,578.51,992.57,5,0.02631578947368421,9.405940594059407,414.06000000000006
TXN-00090,20251217,2,3,Dispatch,102,96,4,3,7.05,1,713.4,959.0,6,0.0392156862745098,14.46808510638298,245.60000000000002
TXN-00091,20250922,4,4,Quality,91,96,6,14,9.0,1,576.72,897.35,-5,0.06593406593406594,10.11111111111111,320.63
TXN-00092,20260329,1,2,Dispatch,93,82,4,11,8.28,1,531.21,837.28,11,0.043010752688172046,11.231884057971016,306.06999999999994
TXN-00093,20260308,2,2,Dispatch,228,165,4,3,18.67,1,1640.95,2689.49,63,0.017543859649122806,12.212104981253347,1048.5399999999997
TXN-00094,20250201,3,4,Assembly,101,90,4,16,10.04,1,787.15,986.51,11,0.039603960396039604,10.0597609561753,199.36
TXN-00095,20250511,1,2,Packing,116,90,2,9,8.75,1,580.82,1329.57,26,0.017241379310344827,13.257142857142858,748.7499999999999
TXN-00096,20251016,1,1,Dispatch,155,162,6,3,11.46,1,916.98,1581.42,-7,0.03870967741935484,13.525305410122163,664.44
TXN-00097,20251009,1,3,Packing,128,136,1,13,9.04,1,808.93,1167.43,-8,0.0078125,14.15929203539823,358.5000000000001
TXN-00098,20250214,3,3,Dispatch,166,142,4,47,11.86,0,1039.97,2090.97,24,0.024096385542168676,13.996627318718382,1050.9999999999998
TXN-00099,20250118,2,3,Dispatch,83,80,4,4,4.96,1,476.14,719.58,3,0.04819277108433735,16.733870967741936,243.44000000000005
TXN-00100,20260325,4,2,Quality,191,179,3,14,15.35,1,1036.97,2264.61,12,0.015706806282722512,12.44299674267101,1227.64
TXN-00101,20260220,1,4,Dispatch,118,136,1,6,9.13,0,799.42,1351.33,-18,0.00847457627118644,12.924424972617743,551.91
TXN-00102,20260118,4,2,Quality,180,146,4,45,14.53,0,998.25,1887.66,34,0.022222222222222223,12.388162422573986,889.4100000000001
TXN-00103,20260102,4,2,Packing,116,105,3,20,6.78,1,881.4,1160.19,11,0.02586206896551724,17.10914454277286,278.7900000000001
TXN-00104,20260219,1,4,Dispatch,95,93,2,13,6.04,1,477.17,892.4,2,0.021052631578947368,15.728476821192054,415.22999999999996
TXN-00105,20250911,1,1,Assembly,176,157,4,11,14.07,1,1110.91,1732.7,19,0.022727272727272728,12.508884150675195,621.79
TXN-00106,20250430,2,4,Packing,189,169,6,0,13.45,1,1082.18,1860.66,20,0.031746031746031744,14.052044609665428,778.48
TXN-00107,20250115,4,1,Dispatch,172,154,5,5,12.89,1,1072.74,2076.91,18,0.029069767441860465,13.34367726920093,1004.1699999999998
TXN-00108,20250417,2,3,Assembly,124,135,2,17,10.17,1,921.36,1057.84,-11,0.016129032258064516,12.192723697148477,136.4799999999999
TXN-00109,20251014,2,2,Assembly,117,113,2,18,7.93,1,680.43,1393.06,4,0.017094017094017096,14.754098360655739,712.63
TXN-00110,20250303,4,1,Dispatch,127,111,4,3,8.76,1,832.79,1325.76,16,0.031496062992125984,14.497716894977168,492.97
TXN-00111,20251217,1,4,Assembly,151,153,2,16,8.5,1,1132.94,1622.6,-2,0.013245033112582781,17.764705882352942,489.65999999999985
TXN-00112,20250509,2,3,Assembly,175,145,5,23,11.51,1,1336.03,2043.2,30,0.02857142857142857,15.204170286707212,707.1700000000001
TXN-00113,20250225,1,3,Assembly,119,121,3,20,8.63,1,631.27,1500.5,-2,0.025210084033613446,13.789107763615295,869.23
TXN-00114,20260510,1,2,Assembly,105,96,3,17,6.52,1,591.88,1029.74,9,0.02857142857142857,16.10429447852761,437.86
TXN-00115,20250823,2,3,Quality,189,179,7,13,13.55,1,940.53,2335.77,10,0.037037037037037035,13.948339483394832,1395.24
TXN-00117,20250523,4,4,Quality,92,89,0,17,6.82,1,566.64,1134.92,3,0.0,13.48973607038123,568.2800000000001
TXN-00118,20250423,1,4,Dispatch,137,158,3,9,10.04,0,721.86,1349.18,-21,0.021897810218978103,13.645418326693228,627.32
TXN-00119,20250914,2,1,Packing,114,123,0,7,8.7,1,716.96,1025.85,-9,0.0,13.10344827586207,308.8899999999999
TXN-00120,20250611,1,2,Packing,109,130,1,15,7.3,0,638.12,945.94,-21,0.009174311926605505,14.931506849315069,307.82000000000005
TXN-00121,20260124,4,1,Quality,154,150,1,9,10.9,1,1095.47,1547.37,4,0.006493506493506494,14.128440366972477,451.89999999999986
TXN-00122,20250715,1,4,Assembly,71,76,1,23,6.92,1,516.11,890.44,-5,0.014084507042253521,10.260115606936417,374.33000000000004
TXN-00123,20251128,1,4,Quality,157,145,2,34,14.26,1,1240.05,1635.51,12,0.012738853503184714,11.009817671809257,395.46000000000004
TXN-00124,20250727,1,4,Dispatch,131,160,0,6,10.04,0,882.52,1652.78,-29,0.0,13.04780876494024,770.26
TXN-00125,20250404,3,2,Dispatch,159,174,1,18,12.31,1,1057.14,1418.37,-15,0.006289308176100629,12.916328188464663,361.2299999999998
TXN-00126,20250711,2,4,Quality,84,79,6,1,7.35,1,619.88,993.48,5,0.07142857142857142,11.428571428571429,373.6
TXN-00127,20251129,3,4,Packing,139,143,2,10,10.44,1,892.54,1581.26,-4,0.014388489208633094,13.314176245210728,688.72
TXN-00128,20250725,1,1,Quality,73,73,2,2,8.56,1,452.36,622.12,0,0.0273972602739726,8.528037383177569,169.76
TXN-00129,20250114,3,4,Packing,80,74,1,1,7.11,1,591.61,789.53,6,0.0125,11.251758087201125,197.91999999999996
TXN-00130,20250925,1,4,Assembly,152,166,1,33,9.5,1,818.63,1908.41,-14,0.006578947368421052,16.0,1089.7800000000002
TXN-00131,20251012,3,4,Dispatch,85,110,0,10,7.39,0,514.28,899.0,-25,0.0,11.502029769959405,384.72
TXN-00132,20251121,5,2,Dispatch,103,113,4,9,7.72,1,676.78,896.99,-10,0.038834951456310676,13.3419689119171,220.21000000000004
TXN-00133,20250120,2,4,Packing,191,171,7,4,13.09,1,968.68,2011.78,20,0.03664921465968586,14.591291061879298,1043.1
TXN-00134,20260313,3,3,Packing,118,110,2,27,10.88,1,856.12,1128.29,8,0.01694915254237288,10.845588235294118,272.16999999999996
TXN-00135,20260508,1,4,Dispatch,105,116,1,4,6.63,1,783.9,1097.01,-11,0.009523809523809525,15.83710407239819,313.11
TXN-00136,20251105,3,3,Dispatch,70,71,0,10,3.12,1,467.6,671.27,-1,0.0,22.435897435897434,203.66999999999996
TXN-00137,20260120,3,1,Dispatch,118,116,3,5,9.83,1,622.31,1347.97,2,0.025423728813559324,12.004069175991862,725.6600000000001
TXN-00138,20251116,4,4,Assembly,75,82,2,15,6.31,1,391.81,716.24,-7,0.02666666666666667,11.885895404120445,324.43
TXN-00139,20250412,2,4,Assembly,187,165,4,25,15.58,1,1174.91,1765.75,22,0.0213903743315508,12.002567394094994,590.8399999999999
TXN-00141,20250907,1,3,Packing,151,178,2,17,12.09,0,1101.52,1903.74,-27,0.013245033112582781,12.48966087675765,802.22
TXN-00142,20260517,1,1,Dispatch,79,70,2,13,6.56,1,437.99,727.55,9,0.02531645569620253,12.042682926829269,289.55999999999995
TXN-00143,20250327,3,3,Quality,130,157,2,3,9.87,0,645.98,1375.85,-27,0.015384615384615385,13.171225937183385,729.8699999999999
TXN-00144,20250623,4,2,Quality,95,116,1,0,6.64,0,694.09,1139.14,-21,0.010526315789473684,14.307228915662652,445.05000000000007
TXN-00145,20260423,3,2,Dispatch,166,168,1,3,13.51,1,1234.25,1943.23,-2,0.006024096385542169,12.28719467061436,708.98
TXN-00146,20251227,3,2,Assembly,103,103,1,26,8.21,1,718.16,1131.43,0,0.009708737864077669,12.545676004872107,413.2700000000001
TXN-00147,20260512,3,3,Assembly,87,78,2,19,7.9,1,469.85,1037.07,9,0.022988505747126436,11.012658227848101,567.2199999999999
TXN-00148,20250105,4,1,Dispatch,107,101,4,29,8.5,1,705.78,1110.58,6,0.037383177570093455,12.588235294117647,404.79999999999995
TXN-00149,20250515,4,4,Dispatch,150,147,2,3,12.62,1,921.86,1422.63,3,0.013333333333333334,11.885895404120445,500.7700000000001
TXN-00150,20251123,4,2,Packing,122,127,1,1,8.04,1,652.29,1294.78,-5,0.00819672131147541,15.174129353233832,642.49
TXN-00151,20260306,2,3,Packing,163,137,8,24,12.28,1,1140.72,1401.83,26,0.049079754601226995,13.273615635179153,261.1099999999999
TXN-00152,20250716,4,3,Dispatch,156,153,3,10,11.62,1,1123.38,1754.96,3,0.019230769230769232,13.425129087779691,631.5799999999999
TXN-00153,20250318,1,3,Dispatch,109,107,2,2,8.4,1,618.24,1168.99,2,0.01834862385321101,12.976190476190476,550.75
TXN-00154,20260308,3,4,Quality,170,148,3,15,12.9,1,1251.69,1997.28,22,0.01764705882352941,13.178294573643411,745.5899999999999
TXN-00155,20250702,2,2,Quality,77,76,2,4,6.24,1,572.94,806.07,1,0.025974025974025976,12.33974358974359,233.13
TXN-00156,20251029,4,1,Packing,76,101,0,10,7.68,0,545.23,900.95,-25,0.0,9.895833333333334,355.72
TXN-00157,20250529,3,1,Dispatch,81,75,5,26,8.48,1,526.24,767.75,6,0.06172839506172839,9.55188679245283,241.51
TXN-00158,20250910,2,1,Dispatch,103,129,4,11,8.15,0,626.94,963.23,-26,0.038834951456310676,12.63803680981595,336.28999999999996
TXN-00159,20250129,3,1,Assembly,70,73,0,35,6.0,0,553.4,664.15,-3,0.0,11.666666666666666,110.75
TXN-00160,20260102,3,1,Quality,137,128,5,22,11.92,1,908.0,1572.92,9,0.0364963503649635,11.493288590604028,664.9200000000001
TXN-00161,20250413,2,3,Dispatch,118,104,7,8,9.19,1,609.17,1465.51,14,0.059322033898305086,12.840043525571273,856.34
TXN-00162,20260429,1,3,Assembly,148,175,3,25,13.51,0,919.57,1546.93,-27,0.02027027027027027,10.954848260547742,627.36
TXN-00163,20250515,2,2,Packing,68,83,0,11,4.62,0,446.58,639.61,-15,0.0,14.718614718614718,193.03000000000003
TXN-00164,20250118,1,1,Packing,150,157,2,29,11.87,1,883.06,1522.21,-7,0.013333333333333334,12.636899747262007,639.1500000000001
TXN-00165,20250813,2,4,Assembly,76,95,2,14,7.62,0,496.83,958.97,-19,0.02631578947368421,9.973753280839896,462.14000000000004
TXN-00166,20250528,1,4,Quality,85,84,3,1,8.16,1,472.81,878.99,1,0.03529411764705882,10.416666666666666,406.18
TXN-00167,20260204,2,1,Quality,140,143,5,9,11.59,1,845.88,1552.4,-3,0.03571428571428571,12.079378774805868,706.5200000000001
TXN-00168,20250406,4,3,Quality,104,129,1,3,8.22,0,545.8,999.6,-25,0.009615384615384616,12.65206812652068,453.80000000000007
TXN-00169,20260205,4,4,Assembly,174,145,3,13,13.32,1,1017.17,1724.13,29,0.017241379310344827,13.063063063063062,706.9600000000002
TXN-00170,20250206,2,4,Quality,119,128,0,6,10.78,1,698.81,1114.96,-9,0.0,11.03896103896104,416.1500000000001
TXN-00171,20251208,3,3,Assembly,92,100,0,14,7.63,1,492.09,803.58,-8,0.0,12.057667103538664,311.49000000000007
TXN-00172,20250808,2,1,Assembly,82,130,7,18,6.86,0,517.49,722.21,-48,0.08536585365853659,11.9533527696793,204.72000000000003
TXN-00173,20251128,1,3,Dispatch,136,154,0,13,10.79,0,817.83,1405.42,-18,0.0,12.604263206672845,587.59
TXN-00174,20251227,1,3,Dispatch,131,118,4,19,11.01,1,733.89,1224.77,13,0.030534351145038167,11.89827429609446,490.88
TXN-00175,20260306,4,3,Dispatch,99,87,3,17,7.2,1,734.78,1037.86,12,0.030303030303030304,13.75,303.0799999999999
TXN-00176,20250415,4,1,Dispatch,144,138,4,11,10.55,1,877.51,1591.59,6,0.027777777777777776,13.649289099526065,714.0799999999999
TXN-00177,20250810,4,1,Assembly,131,154,1,21,8.49,0,794.67,1140.02,-23,0.007633587786259542,15.429917550058892,345.35
TXN-00178,20251016,3,2,Quality,99,113,2,20,7.53,0,773.49,1074.52,-14,0.020202020202020204,13.147410358565736,301.03
TXN-00179,20260204,1,1,Quality,101,80,2,14,6.63,1,521.14,1081.7,21,0.019801980198019802,15.233785822021117,560.5600000000001
TXN-00181,20260303,2,1,Quality,140,117,1,14,10.22,1,799.67,1766.69,23,0.007142857142857143,13.698630136986301,967.0200000000001
TXN-00182,20251014,4,4,Packing,79,105,2,27,3.96,0,481.27,746.2,-26,0.02531645569620253,19.949494949494948,264.93000000000006
TXN-00183,20251219,4,2,Dispatch,107,107,2,19,8.88,1,641.32,1082.36,0,0.018691588785046728,12.049549549549548,441.03999999999985
TXN-00184,20250514,1,1,Packing,155,135,3,15,10.75,1,974.08,1645.25,20,0.01935483870967742,14.418604651162791,671.17
TXN-00185,20250415,1,4,Assembly,145,131,4,49,11.01,0,1109.85,1585.02,14,0.027586206896551724,13.169845594913715,475.1700000000001
TXN-00186,20250711,3,1,Quality,128,115,2,15,8.59,1,643.34,1406.71,13,0.015625,14.90104772991851,763.37
TXN-00187,20250101,1,2,Packing,164,175,4,20,13.53,1,971.78,1553.3,-11,0.024390243902439025,12.121212121212121,581.52
TXN-00188,20250222,2,2,Assembly,161,165,5,29,12.99,1,1013.5,1794.33,-4,0.031055900621118012,12.3941493456505,780.8299999999999
TXN-00190,20250826,2,4,Assembly,71,93,2,12,6.26,0,547.56,873.43,-22,0.028169014084507043,11.341853035143771,325.87
TXN-00191,20260331,3,2,Dispatch,50,71,1,12,5.55,0,401.09,478.25,-21,0.02,9.00900900900901,77.16000000000003
TXN-00192,20250621,3,4,Quality,144,167,3,9,11.65,0,814.09,1549.66,-23,0.020833333333333332,12.360515021459227,735.57
TXN-00193,20250420,1,3,Dispatch,126,111,1,7,8.68,1,706.29,1601.9,15,0.007936507936507936,14.516129032258066,895.6100000000001
TXN-00194,20250603,2,1,Dispatch,119,136,8,58,8.68,0,822.69,1351.94,-17,0.06722689075630252,13.70967741935484,529.25
TXN-00195,20250614,3,4,Packing,95,79,0,12,8.31,1,550.56,1198.33,16,0.0,11.432009626955475,647.77
TXN-00196,20260327,4,1,Dispatch,173,179,4,6,13.24,1,888.57,1531.01,-6,0.023121387283236993,13.066465256797583,642.4399999999999
TXN-00197,20250519,2,2,Quality,147,160,6,19,11.43,1,771.11,1389.53,-13,0.04081632653061224,12.860892388451443,618.42
TXN-00198,20251006,4,1,Assembly,114,120,1,17,6.36,1,855.86,1176.82,-6,0.008771929824561403,17.92452830188679,320.9599999999999
TXN-00199,20260217,4,2,Quality,99,83,0,6,7.8,1,581.6,1016.32,16,0.0,12.692307692307693,434.72
TXN-00200,20260416,3,4,Packing,81,90,5,6,6.15,1,418.85,1022.84,-9,0.06172839506172839,13.170731707317072,603.99
TXN-00201,20251009,4,2,Dispatch,122,139,1,12,9.07,0,881.58,1325.88,-17,0.00819672131147541,13.450937155457552,444.30000000000007
TXN-00202,20250509,4,3,Packing,175,156,3,8,13.5,1,902.9,2107.57,19,0.017142857142857144,12.962962962962964,1204.67
TXN-00203,20250122,4,3,Packing,123,132,1,15,9.47,1,622.95,1318.22,-9,0.008130081300813009,12.988384371700105,695.27
TXN-00204,20260125,1,3,Packing,117,115,5,13,9.12,1,757.19,1334.24,2,0.042735042735042736,12.828947368421053,577.05
TXN-00205,20250722,3,1,Packing,59,75,1,10,4.17,0,354.49,724.94,-16,0.01694915254237288,14.148681055155876,370.45000000000005
TXN-00206,20260326,3,3,Quality,109,97,2,6,8.93,1,698.67,1090.01,12,0.01834862385321101,12.206047032474805,391.34000000000003
TXN-00207,20250921,3,2,Assembly,114,112,0,19,8.43,1,707.15,1216.87,2,0.0,13.523131672597865,509.7199999999999
