transaction_id,date,site,department,product_line,units_processed,target_units,defects,downtime_minutes,labour_hours,on_time_flag,cost_gbp,revenue_gbp,data_quality_flag
TXN-00037,2025-06-26,Sheffield,Dispatch,Beta,134,131,3,7,11.5,1,816.84,1522.11,OK
TXN-00038,2025-01-24,Leeds,Dispatch,Delta,101,98,2,9,9.67,1,525.22,1070.41,OK
TXN-00039,2026-05-17,Manchester,Packing,Beta,93,90,1,12,5.57,1,553.15,874.44,OK
TXN-00040,2026-04-02,Nottingham,Dispatch,Delta,145,123,4,19,10.35,1,753.02,1355.57,OK
TXN-00041,2025-12-21,Sheffield,Packing,Gamma,124,133,3,7,11.28,1,768.66,1282.11,OK
TXN-00042,2025-01-01,Manchester,Dispatch,Gamma,104,110,1,10,7.52,1,682.94,968.11,OK
TXN-00043,2025-08-07,Nottingham,Assembly,Delta,154,130,0,26,10.81,1,1010.05,1955.78,OK
TXN-00044,2026-01-01,Nottingham,Quality,Alpha,153,163,2,10,13.77,1,956.07,1546.15,OK
TXN-00045,2025-01-26,Leeds,Assembly,Gamma,142,142,0,32,11.52,1,1031.06,1539.19,OK
TXN-00046,2025-09-26,Sheffield,Packing,Alpha,157,171,4,4,12.99,1,854.96,1665.9,OK
TXN-00047,2025-04-11,Nottingham,Quality,Alpha,98,94,1,12,8.36,1,625.85,1021.16,OK
TXN-00048,2025-07-07,Leeds,Packing,Delta,182,162,5,5,14.23,1,995.57,1702.83,OK
TXN-00049,2025-06-29,Sheffield,Quality,Delta,97,118,1,8,6.95,0,622.52,1107.42,OK
TXN-00050,2025-01-22,Leeds,Packing,Gamma,113,105,1,16,6.78,1,717.13,1371.72,OK
TXN-00051,2025-09-08,Sheffield,Assembly,Delta,103,113,1,16,8.94,1,614.17,1020.84,OK
TXN-00052,2025-07-14,Sheffield,Packing,Beta,184,158,0,5,16.44,1,1129.77,1982.82,OK
TXN-00053,2025-02-26,Manchester,Dispatch,Alpha,157,155,4,20,11.69,1,1063.74,1459.22,OK
TXN-00054,2025-04-13,Sheffield,Assembly,Beta,119,155,3,13,8.84,0,645.22,1260.56,OK
TXN-00055,2026-03-22,Nottingham,Packing,Delta,173,158,4,3,13.14,1,1139.61,2071.0,OK
TXN-00056,2025-08-19,Nottingham,Assembly,Beta,81,92,3,18,6.93,0,527.93,845.88,OK
TXN-00057,2026-03-05,Leeds,Packing,Beta,126,116,1,25,10.75,1,1001.46,1537.82,OK
TXN-00058,2026-03-28,Manchester,Quality,Delta,129,119,1,14,10.66,1,852.63,1503.59,OK
TXN-00059,2025-02-04,Nottingham,Assembly,Alpha,193,155,4,29,16.2,1,1224.49,2013.26,OK
TXN-00060,2026-05-29,Manchester,Quality,Delta,140,149,1,27,10.49,1,793.96,1578.55,OK
TXN-00061,2025-01-30,Nottingham,Quality,Beta,97,100,1,4,7.94,1,575.19,1161.41,OK
TXN-00062,2025-06-15,Nottingham,Assembly,Gamma,124,165,2,53,8.49,0,813.6,1237.57,OK
TXN-00063,2025-12-02,Leeds,Quality,Beta,149,148,4,5,11.79,1,1080.79,1517.04,OK
TXN-00064,2025-05-25,Nottingham,Quality,Alpha,132,121,2,18,12.63,1,969.92,1188.51,OK
TXN-00065,2025-12-16,Manchester,Assembly,Gamma,129,159,4,13,10.79,0,758.37,1630.54,OK
TXN-00066,2025-01-05,Manchester,Assembly,Alpha,79,86,1,14,7.5,1,429.39,764.15,OK
TXN-00067,2025-11-05,Nottingham,Quality,Gamma,113,110,2,1,9.28,1,553.09,1148.7,OK
TXN-00068,2025-02-22,Sheffield,Quality,Delta,162,154,2,13,12.82,1,1153.54,1989.12,OK
TXN-00069,2025-05-20,Leeds,Quality,Gamma,91,84,0,33,7.17,1,620.94,1044.7,OK
TXN-00070,2025-12-16,Sheffield,Packing,Delta,192,156,5,14,14.78,1,1090.74,2010.26,OK
TXN-00071,2025-12-06,Leeds,Packing,Delta,192,166,3,12,14.73,1,1051.05,1760.64,OK
TXN-00072,2025-01-15,Leeds,Assembly,Beta,132,119,1,16,9.6,1,714.5,1678.32,OK
TXN-00073,2025-10-13,Sheffield,Dispatch,Beta,157,147,5,7,12.16,1,779.48,1850.96,OK
TXN-00074,2026-05-15,Manchester,Assembly,Gamma,119,100,1,14,9.37,1,904.49,1198.48,OK
TXN-00075,2025-02-08,Sheffield,Packing,Delta,168,159,1,10,11.94,1,890.77,1680.75,OK
TXN-00076,2025-11-25,Sheffield,Assembly,Alpha,116,140,2,16,9.22,0,789.32,1426.03,OK
TXN-00077,2026-05-26,Manchester,Quality,Beta,235,178,3,8,18.04,1,1721.31,2841.9,OK
TXN-00078,2025-05-18,Leeds,Quality,Beta,119,146,1,11,8.83,0,655.25,1367.58,OK
TXN-00079,2025-07-04,Sheffield,Packing,Gamma,123,159,1,34,9.64,0,973.88,1510.14,OK
TXN-00080,2025-11-26,Leeds,Dispatch,Delta,86,85,2,2,5.03,1,555.82,887.1,OK
TXN-00081,2025-10-26,Leeds,Quality,Alpha,95,103,0,7,9.0,1,581.69,1027.5,OK
TXN-00082,2025-09-11,Nottingham,Quality,Gamma,157,140,7,11,10.82,1,951.19,1609.34,OK
TXN-00083,2025-12-30,Manchester,Dispatch,Gamma,125,113,3,30,8.07,1,728.23,1205.16,OK
TXN-00084,2025-11-15,Sheffield,Assembly,Alpha,95,98,0,21,6.85,1,702.13,840.19,OK
TXN-00085,2026-03-31,Nottingham,Assembly,Beta,187,164,5,32,15.11,1,1061.46,2170.82,OK
TXN-00086,2025-10-25,Manchester,Quality,Beta,143,143,8,17,11.45,1,786.85,1580.64,OK
TXN-00087,2026-04-03,Leeds,Quality,Delta,200,176,6,9,16.57,1,1428.54,2496.25,OK
TXN-00088,2026-04-08,Leeds,Dispatch,Delta,208,166,7,30,15.53,1,1272.35,1793.57,OK
TXN-00089,2025-12-16,Leeds,Packing,Alpha,114,109,3,17,12.12,1,578.51,992.57,OK
TXN-00090,2025-12-17,Manchester,Dispatch,Delta,102,96,4,3,7.05,1,713.4,959.0,OK
TXN-00091,2025-09-22,Sheffield,Quality,Gamma,91,96,6,14,9.0,1,576.72,897.35,OK
TXN-00092,2026-03-29,Leeds,Dispatch,Beta,93,82,4,11,8.28,1,531.21,837.28,OK
TXN-00093,2026-03-08,Manchester,Dispatch,Beta,228,165,4,3,18.67,1,1640.95,2689.49,OK
TXN-00094,2025-02-01,Nottingham,Assembly,Gamma,101,90,4,16,10.04,1,787.15,986.51,OK
TXN-00095,2025-05-11,Leeds,Packing,Beta,116,90,2,9,8.75,1,580.82,1329.57,OK
TXN-00096,2025-10-16,Leeds,Dispatch,Alpha,155,162,6,3,11.46,1,916.98,1581.42,OK
TXN-00097,2025-10-09,Leeds,Packing,Delta,128,136,1,13,9.04,1,808.93,1167.43,OK
TXN-00098,2025-02-14,Nottingham,Dispatch,Delta,166,142,4,47,11.86,0,1039.97,2090.97,OK
TXN-00099,2025-01-18,Manchester,Dispatch,Delta,83,80,4,4,4.96,1,476.14,719.58,OK
TXN-00100,2026-03-25,Sheffield,Quality,Beta,191,179,3,14,15.35,1,1036.97,2264.61,OK
TXN-00101,2026-02-20,Leeds,Dispatch,Gamma,118,136,1,6,9.13,0,799.42,1351.33,OK
TXN-00102,2026-01-18,Sheffield,Quality,Beta,180,146,4,45,14.53,0,998.25,1887.66,OK
TXN-00103,2026-01-02,Sheffield,Packing,Beta,116,105,3,20,6.78,1,881.4,1160.19,OK
TXN-00104,2026-02-19,Leeds,Dispatch,Gamma,95,93,2,13,6.04,1,477.17,892.4,OK
TXN-00105,2025-09-11,Leeds,Assembly,Alpha,176,157,4,11,14.07,1,1110.91,1732.7,OK
TXN-00106,2025-04-30,Manchester,Packing,Gamma,189,169,6,0,13.45,1,1082.18,1860.66,OK
TXN-00107,2025-01-15,Sheffield,Dispatch,Alpha,172,154,5,5,12.89,1,1072.74,2076.91,OK
TXN-00108,2025-04-17,Manchester,Assembly,Delta,124,135,2,17,10.17,1,921.36,1057.84,OK
TXN-00109,2025-10-14,Manchester,Assembly,Beta,117,113,2,18,7.93,1,680.43,1393.06,OK
TXN-00110,2025-03-03,Sheffield,Dispatch,Alpha,127,111,4,3,8.76,1,832.79,1325.76,OK
TXN-00111,2025-12-17,Leeds,Assembly,Gamma,151,153,2,16,8.5,1,1132.94,1622.6,OK
TXN-00112,2025-05-09,Manchester,Assembly,Delta,175,145,5,23,11.51,1,1336.03,2043.2,OK
TXN-00113,2025-02-25,Leeds,Assembly,Delta,119,121,3,20,8.63,1,631.27,1500.5,OK
TXN-00114,2026-05-10,Leeds,Assembly,Beta,105,96,3,17,6.52,1,591.88,1029.74,OK
TXN-00115,2025-08-23,Manchester,Quality,Delta,189,179,7,13,13.55,1,940.53,2335.77,OK
TXN-00116,2025-11-19,Manchester,Packing,Alpha,missing,142,5,22,11.73,1,1013.8,1322.16,OK
TXN-00117,2025-05-23,Sheffield,Quality,Gamma,92,89,0,17,6.82,1,566.64,1134.92,OK
TXN-00118,2025-04-23,Leeds,Dispatch,Gamma,137,158,3,9,10.04,0,721.86,1349.18,OK
TXN-00119,2025-09-14,Manchester,Packing,Alpha,114,123,0,7,8.7,1,716.96,1025.85,OK
TXN-00120,2025-06-11,Leeds,Packing,Beta,109,130,1,15,7.3,0,638.12,945.94,OK
TXN-00121,2026-01-24,Sheffield,Quality,Alpha,154,150,1,9,10.9,1,1095.47,1547.37,OK
TXN-00122,2025-07-15,Leeds,Assembly,Gamma,71,76,1,23,6.92,1,516.11,890.44,OK
TXN-00123,2025-11-28,Leeds,Quality,Gamma,157,145,2,34,14.26,1,1240.05,1635.51,OK
TXN-00124,2025-07-27,Leeds,Dispatch,Gamma,131,160,0,6,10.04,0,882.52,1652.78,OK
TXN-00125,2025-04-04,Nottingham,Dispatch,Beta,159,174,1,18,12.31,1,1057.14,1418.37,OK
TXN-00126,2025-07-11,Manchester,Quality,Gamma,84,79,6,1,7.35,1,619.88,993.48,OK
TXN-00127,2025-11-29,Nottingham,Packing,Gamma,139,143,2,10,10.44,1,892.54,1581.26,OK
TXN-00128,2025-07-25,Leeds,Quality,Alpha,73,73,2,2,8.56,1,452.36,622.12,OK
TXN-00129,2025-01-14,Nottingham,Packing,Gamma,80,74,1,1,7.11,1,591.61,789.53,OK
TXN-00130,2025-09-25,Leeds,Assembly,Gamma,152,166,1,33,9.5,1,818.63,1908.41,OK
TXN-00131,2025-10-12,Nottingham,Dispatch,Gamma,85,110,0,10,7.39,0,514.28,899.0,OK
TXN-00132,2025-11-21,,Dispatch,Beta,103,113,4,9,7.72,1,676.78,896.99,OK
TXN-00133,2025-01-20,Manchester,Packing,Gamma,191,171,7,4,13.09,1,968.68,2011.78,OK
TXN-00134,2026-03-13,Nottingham,Packing,Delta,118,110,2,27,10.88,1,856.12,1128.29,OK
TXN-00135,2026-05-08,Leeds,Dispatch,Gamma,105,116,1,4,6.63,1,783.9,1097.01,OK
TXN-00136,2025-11-05,Nottingham,Dispatch,Delta,70,71,0,10,3.12,1,467.6,671.27,OK
TXN-00137,2026-01-20,Nottingham,Dispatch,Alpha,118,116,3,5,9.83,1,622.31,1347.97,OK
TXN-00138,2025-11-16,Sheffield,Assembly,Gamma,75,82,2,15,6.31,1,391.81,716.24,OK
TXN-00139,2025-04-12,Manchester,Assembly,Gamma,187,165,4,25,15.58,1,1174.91,1765.75,OK
TXN-00140,2026-03-16,Sheffield,Assembly,Gamma,missing,74,1,12,6.22,1,585.37,963.7,OK
TXN-00141,2025-09-07,Leeds,Packing,Delta,151,178,2,17,12.09,0,1101.52,1903.74,OK
TXN-00142,2026-05-17,Leeds,Dispatch,Alpha,79,70,2,13,6.56,1,437.99,727.55,OK
TXN-00143,2025-03-27,Nottingham,Quality,Delta,130,157,2,3,9.87,0,645.98,1375.85,OK
TXN-00144,2025-06-23,Sheffield,Quality,Beta,95,116,1,0,6.64,0,694.09,1139.14,OK
TXN-00145,2026-04-23,Nottingham,Dispatch,Beta,166,168,1,3,13.51,1,1234.25,1943.23,OK
TXN-00146,2025-12-27,Nottingham,Assembly,Beta,103,103,1,26,8.21,1,718.16,1131.43,OK
TXN-00147,2026-05-12,Nottingham,Assembly,Delta,87,78,2,19,7.9,1,469.85,1037.07,OK
TXN-00148,2025-01-05,Sheffield,Dispatch,Alpha,107,101,4,29,8.5,1,705.78,1110.58,OK
TXN-00149,2025-05-15,Sheffield,Dispatch,Gamma,150,147,2,3,12.62,1,921.86,1422.63,OK
TXN-00150,2025-11-23,Sheffield,Packing,Beta,122,127,1,1,8.04,1,652.29,1294.78,OK
TXN-00151,2026-03-06,Manchester,Packing,Delta,163,137,8,24,12.28,1,1140.72,1401.83,OK
TXN-00152,2025-07-16,Sheffield,Dispatch,Delta,156,153,3,10,11.62,1,1123.38,1754.96,OK
TXN-00153,2025-03-18,Leeds,Dispatch,Delta,109,107,2,2,8.4,1,618.24,1168.99,OK
TXN-00154,2026-03-08,Nottingham,Quality,Gamma,170,148,3,15,12.9,1,1251.69,1997.28,OK
TXN-00155,2025-07-02,Manchester,Quality,Beta,77,76,2,4,6.24,1,572.94,806.07,OK
TXN-00156,2025-10-29,Sheffield,Packing,Alpha,76,101,0,10,7.68,0,545.23,900.95,OK
TXN-00157,2025-05-29,Nottingham,Dispatch,Alpha,81,75,5,26,8.48,1,526.24,767.75,OK
TXN-00158,2025-09-10,Manchester,Dispatch,Alpha,103,129,4,11,8.15,0,626.94,963.23,OK
TXN-00159,2025-01-29,Nottingham,Assembly,Alpha,70,73,0,35,6.0,0,553.4,664.15,OK
TXN-00160,2026-01-02,Nottingham,Quality,Alpha,137,128,5,22,11.92,1,908.0,1572.92,OK
TXN-00161,2025-04-13,Manchester,Dispatch,Delta,118,104,7,8,9.19,1,609.17,1465.51,OK
TXN-00162,2026-04-29,Leeds,Assembly,Delta,148,175,3,25,13.51,0,919.57,1546.93,OK
TXN-00163,2025-05-15,Manchester,Packing,Beta,68,83,0,11,4.62,0,446.58,639.61,OK
TXN-00164,2025-01-18,Leeds,Packing,Alpha,150,157,2,29,11.87,1,883.06,1522.21,OK
TXN-00165,2025-08-13,Manchester,Assembly,Gamma,76,95,2,14,7.62,0,496.83,958.97,OK
TXN-00166,2025-05-28,Leeds,Quality,Gamma,85,84,3,1,8.16,1,472.81,878.99,OK
TXN-00167,2026-02-04,Manchester,Quality,Alpha,140,143,5,9,11.59,1,845.88,1552.4,OK
TXN-00168,2025-04-06,Sheffield,Quality,Delta,104,129,1,3,8.22,0,545.8,999.6,OK
TXN-00169,2026-02-05,Sheffield,Assembly,Gamma,174,145,3,13,13.32,1,1017.17,1724.13,OK
TXN-00170,2025-02-06,Manchester,Quality,Gamma,119,128,0,6,10.78,1,698.81,1114.96,OK
TXN-00171,2025-12-08,Nottingham,Assembly,Delta,92,100,0,14,7.63,1,492.09,803.58,OK
TXN-00172,2025-08-08,Manchester,Assembly,Alpha,82,130,7,18,6.86,0,517.49,722.21,OK
TXN-00173,2025-11-28,Leeds,Dispatch,Delta,136,154,0,13,10.79,0,817.83,1405.42,OK
TXN-00174,2025-12-27,Leeds,Dispatch,Delta,131,118,4,19,11.01,1,733.89,1224.77,OK
TXN-00175,2026-03-06,Sheffield,Dispatch,Delta,99,87,3,17,7.2,1,734.78,1037.86,OK
TXN-00176,2025-04-15,Sheffield,Dispatch,Alpha,144,138,4,11,10.55,1,877.51,1591.59,OK
TXN-00177,2025-08-10,Sheffield,Assembly,Alpha,131,154,1,21,8.49,0,794.67,1140.02,OK
TXN-00178,2025-10-16,Nottingham,Quality,Beta,99,113,2,20,7.53,0,773.49,1074.52,OK
TXN-00179,2026-02-04,Leeds,Quality,Alpha,101,80,2,14,6.63,1,521.14,1081.7,OK
TXN-00180,31/13/2025,Nottingham,Quality,Beta,131,135,5,2,7.87,1,665.01,1641.33,OK
TXN-00181,2026-03-03,Manchester,Quality,Alpha,140,117,1,14,10.22,1,799.67,1766.69,OK
TXN-00182,2025-10-14,Sheffield,Packing,Gamma,79,105,2,27,3.96,0,481.27,746.2,OK
TXN-00183,2025-12-19,Sheffield,Dispatch,Beta,107,107,2,19,8.88,1,641.32,1082.36,OK
TXN-00184,2025-05-14,Leeds,Packing,Alpha,155,135,3,15,10.75,1,974.08,1645.25,OK
TXN-00185,2025-04-15,Leeds,Assembly,Gamma,145,131,4,49,11.01,0,1109.85,1585.02,OK
TXN-00186,2025-07-11,Nottingham,Quality,Alpha,128,115,2,15,8.59,1,643.34,1406.71,OK
TXN-00187,2025-01-01,Leeds,Packing,Beta,164,175,4,20,13.53,1,971.78,1553.3,OK
TXN-00188,2025-02-22,Manchester,Assembly,Beta,161,165,5,29,12.99,1,1013.5,1794.33,OK
TXN-00189,2025-08-30,Manchester,Dispatch,Gamma,missing,88,3,12,7.96,1,645.38,954.48,OK
TXN-00190,2025-08-26,Manchester,Assembly,Gamma,71,93,2,12,6.26,0,547.56,873.43,OK
TXN-00191,2026-03-31,Nottingham,Dispatch,Beta,50,71,1,12,5.55,0,401.09,478.25,OK
TXN-00192,2025-06-21,Nottingham,Quality,Gamma,144,167,3,9,11.65,0,814.09,1549.66,OK
TXN-00193,2025-04-20,Leeds,Dispatch,Delta,126,111,1,7,8.68,1,706.29,1601.9,OK
TXN-00194,2025-06-03,Manchester,Dispatch,Alpha,119,136,8,58,8.68,0,822.69,1351.94,OK
TXN-00195,2025-06-14,Nottingham,Packing,Gamma,95,79,0,12,8.31,1,550.56,1198.33,OK
TXN-00196,2026-03-27,Sheffield,Dispatch,Alpha,173,179,4,6,13.24,1,888.57,1531.01,OK
TXN-00197,2025-05-19,Manchester,Quality,Beta,147,160,6,19,11.43,1,771.11,1389.53,OK
TXN-00198,2025-10-06,Sheffield,Assembly,Alpha,114,120,1,17,6.36,1,855.86,1176.82,OK
TXN-00199,2026-02-17,Sheffield,Quality,Beta,99,83,0,6,7.8,1,581.6,1016.32,OK
TXN-00200,2026-04-16,Nottingham,Packing,Gamma,81,90,5,6,6.15,1,418.85,1022.84,OK
TXN-00201,2025-10-09,Sheffield,Dispatch,Beta,122,139,1,12,9.07,0,881.58,1325.88,OK
TXN-00202,2025-05-09,Sheffield,Packing,Delta,175,156,3,8,13.5,1,902.9,2107.57,OK
TXN-00203,2025-01-22,Sheffield,Packing,Delta,123,132,1,15,9.47,1,622.95,1318.22,OK
TXN-00204,2026-01-25,Leeds,Packing,Delta,117,115,5,13,9.12,1,757.19,1334.24,OK
TXN-00205,2025-07-22,Nottingham,Packing,Alpha,59,75,1,10,4.17,0,354.49,724.94,OK
TXN-00206,2026-03-26,Nottingham,Quality,Delta,109,97,2,6,8.93,1,698.67,1090.01,OK
TXN-00207,2025-09-21,Nottingham,Assembly,Beta,114,112,0,19,8.43,1,707.15,1216.87,OK
TXN-00208,2026-01-21,Nottingham,Dispatch,Beta,missing,109,0,19,8.15,1,859.73,1341.55,OK
TXN-00209,2025-09-16,Leeds,Assembly,Gamma,99,101,1,18,5.71,1,765.62,1145.61,OK
TXN-00210,2025-08-04,Manchester,Quality,Delta,95,144,1,17,5.23,0,699.99,1077.95,OK
TXN-00211,2025-08-14,Nottingham,Dispatch,Beta,60,74,0,68,4.01,0,536.08,576.93,OK
TXN-00212,2025-01-20,Leeds,Packing,Gamma,159,165,1,11,12.35,1,1186.62,2003.84,OK
TXN-00213,31/13/2025,Leeds,Assembly,Alpha,95,101,2,21,5.56,1,597.72,1153.49,OK
TXN-00214,2026-02-23,Sheffield,Assembly,Delta,197,154,4,24,16.68,1,1245.87,1892.25,OK
TXN-00215,2025-10-07,Manchester,Packing,Gamma,157,150,1,8,12.69,1,1116.3,1559.64,OK
TXN-00216,2025-07-05,Nottingham,Quality,Beta,119,120,1,20,11.3,1,768.01,1236.49,OK
TXN-00217,2025-07-15,Sheffield,Dispatch,Delta,161,169,5,30,13.73,1,1192.56,1426.89,OK
TXN-00218,2026-03-10,Sheffield,Quality,Delta,134,136,1,16,10.87,1,851.6,1270.19,OK
TXN-00219,2026-03-02,Sheffield,Quality,Delta,107,101,3,15,7.74,1,723.3,1283.76,OK
TXN-00220,2025-12-16,Sheffield,Quality,Delta,117,112,3,19,10.37,1,764.67,1264.54,OK
TXN-00221,2025-02-06,Leeds,Assembly,Alpha,139,127,4,24,9.99,1,974.2,1224.99,OK
TXN-00222,2025-12-04,Manchester,Packing,Alpha,60,70,2,12,3.46,0,399.92,546.12,OK
TXN-00223,2026-03-10,Manchester,Assembly,Alpha,193,154,6,23,15.14,1,1457.01,1685.69,OK
TXN-00224,2026-01-27,Manchester,Packing,Beta,103,127,4,8,6.76,0,568.5,1015.53,OK
TXN-00225,2025-10-06,Nottingham,Packing,Gamma,90,89,1,16,5.2,1,586.77,989.5,OK
TXN-00226,2026-01-16,Manchester,Packing,Gamma,163,148,7,19,11.65,1,1034.74,1394.75,OK
TXN-00227,2025-03-21,Manchester,Dispatch,Beta,161,163,2,18,11.45,1,1013.04,1825.09,OK
TXN-00228,2025-03-22,Leeds,Quality,Gamma,148,149,3,16,11.85,1,1027.62,1602.64,OK
TXN-00229,2025-07-16,Manchester,Dispatch,Gamma,124,139,3,6,9.92,0,834.33,1529.05,OK
TXN-00230,2025-06-26,Sheffield,Quality,Beta,179,167,2,7,14.29,1,1190.5,1698.32,OK
TXN-00231,2026-05-01,,Dispatch,Alpha,159,165,2,3,11.72,1,902.36,1529.99,OK
TXN-00232,2025-06-29,Manchester,Dispatch,Alpha,71,73,3,20,4.89,1,518.92,615.55,OK
TXN-00233,2026-03-22,Sheffield,Assembly,Beta,missing,107,3,21,8.7,1,714.41,1276.72,OK
TXN-00234,2026-01-10,Sheffield,Assembly,Gamma,132,124,2,35,11.03,0,1021.5,1675.16,OK
TXN-00235,2025-10-29,Nottingham,Assembly,Alpha,149,147,1,15,12.89,1,1104.45,1563.37,OK
TXN-00236,2025-12-02,Sheffield,Dispatch,Gamma,89,85,2,18,6.2,1,505.59,1135.74,OK
TXN-00237,2026-05-13,Nottingham,Dispatch,Delta,99,99,0,34,8.2,1,803.5,965.01,OK
TXN-00238,2025-03-16,Sheffield,Assembly,Beta,95,91,1,13,7.09,1,736.31,810.8,OK
TXN-00239,2026-02-02,Sheffield,Packing,Delta,197,151,2,27,14.68,1,1072.11,2031.38,OK
TXN-00240,2025-10-11,Manchester,Assembly,Gamma,47,80,3,27,5.87,0,363.33,561.19,OK
TXN-00241,2025-01-19,Sheffield,Quality,Delta,128,122,3,16,9.93,1,752.51,1557.9,OK
TXN-00242,2025-09-05,Leeds,Packing,Alpha,141,163,3,23,10.42,0,964.67,1514.18,OK
TXN-00243,2025-02-14,Leeds,Quality,Alpha,168,154,2,3,12.73,1,863.6,1439.81,OK
TXN-00244,2025-10-25,Nottingham,Packing,Gamma,98,134,2,3,8.19,0,633.27,877.03,OK
TXN-00245,2025-06-29,Nottingham,Assembly,Beta,108,158,1,22,6.89,0,726.32,1255.65,OK
TXN-00246,2026-02-27,Nottingham,Assembly,Gamma,110,90,1,28,8.41,1,778.85,1291.72,OK
TXN-00247,2026-04-28,Manchester,Packing,Alpha,150,138,4,5,12.76,1,1127.28,1574.2,OK
TXN-00248,2025-09-18,Leeds,Quality,Gamma,127,159,1,9,9.85,0,712.85,1105.99,OK
TXN-00249,2026-05-06,Sheffield,Assembly,Beta,167,148,1,38,11.46,0,1066.43,1785.84,OK
TXN-00250,2025-05-19,Sheffield,Assembly,Alpha,118,112,0,33,8.81,1,842.04,1418.48,OK
TXN-00251,2026-01-28,Leeds,Packing,Delta,56,76,4,1,3.92,0,379.68,584.07,OK
TXN-00252,2025-06-28,Manchester,Packing,Delta,140,133,6,26,11.43,1,937.61,1613.28,OK
TXN-00253,2026-03-05,Nottingham,Quality,Delta,110,90,2,33,8.64,1,632.47,1218.36,OK
